iter	Logloss
0	0.6873469983
1	0.6837474758
2	0.6812748279
3	0.6793943244
4	0.6774751308
5	0.6762396344
6	0.6735327769
7	0.6722901425
8	0.6714554092
9	0.670375811
10	0.6690659862
11	0.6676515224
12	0.6668057199
13	0.6656316725
14	0.6647685423
15	0.6639661886
16	0.6633708372
17	0.663074196
18	0.6625806905
19	0.6618585102
20	0.6608312574
21	0.6604833053
22	0.6598585743
23	0.6595602779
24	0.6590995142
25	0.6588350975
26	0.6585318355
27	0.6580315024
28	0.6577148438
29	0.657453634
30	0.6571758206
31	0.6568248684
32	0.6565549689
33	0.6563210697
34	0.656146654
35	0.6558336161
36	0.6555459233
37	0.6552125058
38	0.654956365
39	0.6547511214
40	0.6545916024
41	0.6541378732
42	0.6539842509
43	0.6537639036
44	0.6534535036
45	0.6532095182
46	0.6529831708
47	0.6527664443
48	0.6525830285
49	0.65247301
50	0.6523195428
51	0.6520701263
52	0.6519097797
53	0.651714881
54	0.6515214306
55	0.6514310158
56	0.6511973236
57	0.6509635279
58	0.6507721465
59	0.650593179
60	0.6505009021
61	0.6503129345
62	0.649997
63	0.6498130669
64	0.6496263407
65	0.6494444766
66	0.6493744931
67	0.6491875083
68	0.648968299
69	0.6487419516
70	0.6486914683
71	0.6484832246
72	0.6483363265
73	0.6482128079
74	0.6480440819
75	0.647578456
76	0.6473147635
77	0.6471759344
78	0.6470318293
79	0.6469267764
80	0.646775792
81	0.6466640666
82	0.6465530137
83	0.6462769589
84	0.6461604231
85	0.646019163
86	0.6458791959
87	0.6456096067
88	0.6454664845
89	0.6453152931
90	0.6450872389
91	0.6449276682
92	0.6447610629
93	0.644584423
94	0.6443895243
95	0.644269885
96	0.6439558643
97	0.6437641726
98	0.643395065
99	0.6431004411
100	0.6429361634
101	0.6425201933
102	0.6423325361
103	0.642128689
104	0.6419089107
105	0.6417194431
106	0.6414516126
107	0.6412662829
108	0.6410621772
109	0.640924693
110	0.6407259666
111	0.6404333082
112	0.6402778755
113	0.6400780629
114	0.6398435431
115	0.6396052474
116	0.6393952451
117	0.6391455699
118	0.6388660496
119	0.6387072547
120	0.6384824074
121	0.6382379047
122	0.6379839364
123	0.6377497786
124	0.6375727249
125	0.6373792745
126	0.6372331005
127	0.6370483916
128	0.6367961302
129	0.6366572493
130	0.6364924544
131	0.6364055052
132	0.6362500207
133	0.6360654152
134	0.6359479484
135	0.6357625153
136	0.635631807
137	0.6354096493
138	0.6351797847
139	0.63503449
140	0.6347924184
141	0.6346113819
142	0.6344248626
143	0.634271654
144	0.6341934463
145	0.6338736324
146	0.63372301
147	0.6335404736
148	0.6333453162
149	0.6332646774
150	0.6330656407
151	0.6328567246
152	0.6325836699
153	0.6324779446
154	0.6323822021
155	0.6322085106
156	0.632071078
157	0.6319080935
158	0.6317322295
159	0.6315473136
160	0.6313446045
161	0.6312716209
162	0.6310748601
163	0.6310077732
164	0.6308917547
165	0.630764305
166	0.6305382163
167	0.6303585764
168	0.6303031792
169	0.6301350739
170	0.6299961931
171	0.6297887253
172	0.6297003277
173	0.6295876196
174	0.6293787035
175	0.6292452537
176	0.6291810117
177	0.6291377181
178	0.62899832
179	0.6289435952
180	0.628734524
181	0.6285675566
182	0.6284081411
183	0.6282532773
184	0.6280841375
185	0.6279303082
186	0.6278201346
187	0.6277058747
188	0.6276092012
189	0.627352957
190	0.6271615756
191	0.6269656424
192	0.6268251063
193	0.6267143637
194	0.6265619828
195	0.626523603
196	0.6264192226
197	0.6263827566
198	0.6262251514
199	0.6261517024
200	0.6259830281
201	0.6258495266
202	0.6257321633
203	0.6256136619
204	0.625408108
205	0.6252556235
206	0.6250586041
207	0.6249184301
208	0.6247199107
209	0.6246466685
210	0.6245103739
211	0.6243798207
212	0.6242342674
213	0.6240525068
214	0.623852746
215	0.6236867614
216	0.6235375873
217	0.6234331034
218	0.6232316357
219	0.6230733581
220	0.6229268737
221	0.6227756824
222	0.622585594
223	0.6224900068
224	0.6223733158
225	0.6223400051
226	0.6222313832
227	0.6221058991
228	0.6219887944
229	0.6219534147
230	0.6217887232
231	0.6217448089
232	0.6215844106
233	0.6215280307
234	0.6214390642
235	0.6213960809
236	0.6212848211
237	0.6211206986
238	0.6210137319
239	0.6208695751
240	0.6207649878
241	0.6205923307
242	0.6204282082
243	0.6203106379
244	0.6201879986
245	0.6200540834
246	0.6199635651
247	0.6198441845
248	0.6197737872
249	0.6196439064
