iter	Passed	Remaining
0	5	1341
1	9	1213
2	13	1145
3	17	1091
4	21	1073
5	25	1055
6	29	1031
7	34	1029
8	37	1015
9	42	1009
10	46	999
11	49	990
12	54	985
13	58	980
14	62	978
15	66	972
16	70	969
17	74	962
18	78	956
19	82	951
20	86	945
21	90	941
22	94	936
23	99	932
24	103	929
25	107	925
26	111	919
27	115	914
28	119	910
29	123	904
30	127	902
31	131	898
32	135	893
33	139	888
34	144	887
35	148	882
36	152	877
37	156	872
38	160	867
39	164	864
40	168	860
41	172	856
42	176	851
43	181	847
44	185	843
45	189	839
46	193	835
47	197	831
48	201	827
49	205	822
50	210	819
51	214	816
52	219	814
53	226	820
54	230	817
55	234	813
56	241	816
57	245	811
58	249	806
59	253	801
60	258	799
61	262	796
62	267	793
63	272	793
64	276	787
65	281	784
66	288	787
67	292	783
68	296	778
69	306	789
70	312	787
71	317	784
72	324	786
73	328	781
74	337	786
75	344	787
76	352	791
77	357	788
78	362	784
79	369	785
80	374	780
81	378	775
82	385	775
83	389	769
84	394	764
85	401	765
86	405	759
87	409	754
88	413	748
89	418	743
90	421	737
91	426	731
92	430	726
93	434	720
94	438	715
95	442	710
96	446	704
97	450	699
98	455	694
99	459	688
100	463	683
101	467	678
102	472	674
103	476	669
104	481	664
105	485	659
106	490	655
107	494	649
108	499	645
109	502	640
110	513	642
111	518	638
112	525	637
113	529	631
114	533	626
115	538	622
116	549	624
117	557	624
118	561	618
119	565	613
120	572	609
121	576	604
122	580	599
123	585	595
124	590	590
125	593	584
126	598	580
127	602	574
128	606	568
129	610	563
130	615	558
131	618	553
132	623	548
133	627	543
134	631	538
135	635	532
136	639	527
137	643	522
138	647	517
139	651	511
140	655	506
141	659	501
142	664	497
143	669	493
144	674	488
145	679	484
146	683	478
147	687	473
148	693	470
149	697	465
150	701	460
151	708	456
152	712	451
153	716	446
154	720	441
155	725	437
156	730	432
157	734	427
158	738	422
159	742	417
160	746	412
161	750	407
162	755	402
163	759	398
164	762	393
165	766	388
166	771	383
167	775	378
168	779	373
169	783	368
170	787	363
171	791	358
172	795	354
173	799	349
174	803	344
175	807	339
176	811	334
177	815	330
178	819	325
179	823	320
180	827	315
181	831	310
182	836	306
183	840	301
184	844	296
185	850	292
186	854	287
187	858	283
188	863	278
189	867	273
190	871	269
191	875	264
192	880	259
193	884	255
194	888	250
195	892	245
196	897	241
197	901	236
198	905	232
199	909	227
200	913	222
201	917	217
202	921	213
203	926	208
204	930	204
205	934	199
206	938	194
207	942	190
208	945	185
209	949	180
210	953	176
211	957	171
212	961	167
213	965	162
214	969	157
215	973	153
216	977	148
217	981	144
218	985	139
219	989	134
220	993	130
221	996	125
222	1000	121
223	1004	116
224	1008	112
225	1012	107
226	1016	102
227	1020	98
228	1024	93
229	1028	89
230	1031	84
231	1035	80
232	1039	75
233	1043	71
234	1047	66
235	1051	62
236	1054	57
237	1058	53
238	1062	48
239	1066	44
240	1070	39
241	1074	35
242	1078	31
243	1082	26
244	1086	22
245	1090	17
246	1094	13
247	1098	8
248	1101	4
249	1105	0
